hr,weekday,cnt,workingday
15,2,47.0,1
16,2,76.0,1
17,2,136.0,1
18,2,95.0,1
19,2,51.0,1
20,2,32.0,1
21,2,20.0,1
22,2,29.0,1
23,2,19.0,1
0,3,7.0,1
1,3,6.0,1
2,3,1.0,1
5,3,5.0,1
6,3,16.0,1
7,3,54.0,1
8,3,128.0,1
9,3,81.0,1
10,3,39.0,1
11,3,35.0,1
12,3,55.0,1
13,3,49.0,1
14,3,44.0,1
15,3,49.0,1
16,3,68.0,1
17,3,139.0,1
18,3,137.0,1
19,3,83.0,1
20,3,56.0,1
21,3,57.0,1
22,3,33.0,1
23,3,20.0,1
0,4,7.0,1
1,4,2.0,1
2,4,2.0,1
3,4,3.0,1
4,4,4.0,1
5,4,3.0,1
6,4,28.0,1
7,4,72.0,1
8,4,202.0,1
9,4,139.0,1
10,4,38.0,1
11,4,37.0,1
12,4,52.0,1
13,4,83.0,1
14,4,42.0,1
15,4,60.0,1
16,4,78.0,1
17,4,162.0,1
18,4,144.0,1
19,4,99.0,1
20,4,64.0,1
21,4,40.0,1
22,4,30.0,1
23,4,15.0,1
0,5,14.0,1
1,5,5.0,1
2,5,1.0,1
3,5,1.0,1
5,5,8.0,1
6,5,17.0,1
7,5,70.0,1
8,5,158.0,1
9,5,117.0,1
10,5,44.0,1
11,5,53.0,1
12,5,61.0,1
13,5,77.0,1
14,5,64.0,1
15,5,68.0,1
16,5,90.0,1
17,5,159.0,1
18,5,139.0,1
19,5,92.0,1
20,5,68.0,1
21,5,52.0,1
22,5,36.0,1
23,5,27.0,1
0,6,28.0,0
1,6,20.0,0
2,6,12.0,0
3,6,8.0,0
4,6,5.0,0
5,6,1.0,0
6,6,3.0,0
7,6,10.0,0
8,6,23.0,0
9,6,33.0,0
10,6,59.0,0
11,6,72.0,0
12,6,89.0,0
13,6,101.0,0
14,6,118.0,0
15,6,129.0,0
16,6,128.0,0
17,6,83.0,0
18,6,84.0,0
19,6,74.0,0
20,6,41.0,0
21,6,57.0,0
22,6,26.0,0
23,6,44.0,0
0,0,39.0,0
1,0,23.0,0
2,0,16.0,0
3,0,15.0,0
4,0,1.0,0
5,0,2.0,0
6,0,1.0,0
7,0,3.0,0
8,0,18.0,0
9,0,32.0,0
10,0,79.0,0
11,0,93.0,0
12,0,104.0,0
13,0,118.0,0
14,0,91.0,0
15,0,113.0,0
16,0,99.0,0
17,0,105.0,0
18,0,67.0,0
19,0,61.0,0
20,0,57.0,0
21,0,28.0,0
22,0,21.0,0
23,0,18.0,0
0,1,17.0,0
1,1,16.0,0
2,1,8.0,0
3,1,2.0,0
4,1,3.0,0
5,1,1.0,0
6,1,5.0,0
7,1,13.0,0
8,1,33.0,0
9,1,47.0,0
10,1,57.0,0
11,1,64.0,0
12,1,80.0,0
13,1,93.0,0
14,1,86.0,0
15,1,93.0,0
16,1,82.0,0
17,1,71.0,0
18,1,92.0,0
19,1,60.0,0
20,1,33.0,0
21,1,27.0,0
22,1,13.0,0
23,1,4.0,0
12,2,3.0,1
13,2,22.0,1
14,2,28.0,1
15,2,35.0,1
16,2,61.0,1
17,2,125.0,1
18,2,133.0,1
19,2,99.0,1
20,2,83.0,1
21,2,41.0,1
22,2,33.0,1
23,2,20.0,1
0,3,3.0,1
1,3,7.0,1
2,3,3.0,1
4,3,2.0,1
5,3,7.0,1
6,3,32.0,1
7,3,90.0,1
8,3,197.0,1
9,3,109.0,1
10,3,47.0,1
11,3,52.0,1
12,3,70.0,1
13,3,78.0,1
14,3,75.0,1
15,3,82.0,1
16,3,104.0,1
17,3,197.0,1
18,3,161.0,1
19,3,112.0,1
20,3,76.0,1
21,3,59.0,1
22,3,59.0,1
23,3,28.0,1
0,4,13.0,1
1,4,5.0,1
2,4,2.0,1
3,4,1.0,1
4,4,1.0,1
5,4,6.0,1
6,4,35.0,1
7,4,101.0,1
8,4,249.0,1
9,4,143.0,1
10,4,57.0,1
11,4,68.0,1
12,4,84.0,1
13,4,98.0,1
14,4,81.0,1
15,4,70.0,1
16,4,91.0,1
17,4,215.0,1
18,4,185.0,1
19,4,152.0,1
20,4,126.0,1
21,4,57.0,1
22,4,56.0,1
23,4,31.0,1
0,5,21.0,1
1,5,6.0,1
2,5,2.0,1
3,5,1.0,1
4,5,1.0,1
5,5,5.0,1
6,5,27.0,1
7,5,68.0,1
8,5,217.0,1
9,5,166.0,1
10,5,63.0,1
11,5,59.0,1
12,5,78.0,1
13,5,73.0,1
14,5,62.0,1
15,5,65.0,1
16,5,97.0,1
17,5,161.0,1
18,5,120.0,1
19,5,96.0,1
20,5,53.0,1
21,5,41.0,1
22,5,34.0,1
23,5,27.0,1
0,6,13.0,0
1,6,12.0,0
2,6,11.0,0
3,6,7.0,0
4,6,3.0,0
6,6,2.0,0
7,6,8.0,0
8,6,27.0,0
9,6,40.0,0
10,6,53.0,0
11,6,63.0,0
12,6,70.0,0
13,6,84.0,0
14,6,75.0,0
15,6,103.0,0
16,6,83.0,0
17,6,67.0,0
18,6,54.0,0
19,6,59.0,0
20,6,45.0,0
21,6,39.0,0
22,6,30.0,0
23,6,33.0,0
0,0,22.0,0
1,0,13.0,0
2,0,18.0,0
3,0,5.0,0
5,0,3.0,0
6,0,1.0,0
7,0,2.0,0
8,0,19.0,0
9,0,28.0,0
10,0,58.0,0
11,0,99.0,0
12,0,116.0,0
13,0,87.0,0
14,0,110.0,0
15,0,77.0,0
16,0,65.0,0
17,0,55.0,0
18,0,49.0,0
19,0,50.0,0
20,0,35.0,0
21,0,25.0,0
22,0,28.0,0
23,0,21.0,0
0,1,7.0,1
1,1,1.0,1
3,1,1.0,1
4,1,1.0,1
5,1,5.0,1
6,1,15.0,1
7,1,84.0,1
8,1,177.0,1
9,1,102.0,1
10,1,40.0,1
11,1,46.0,1
12,1,63.0,1
13,1,60.0,1
14,1,45.0,1
15,1,57.0,1
16,1,70.0,1
17,1,184.0,1
18,1,153.0,1
19,1,106.0,1
20,1,81.0,1
21,1,59.0,1
22,1,35.0,1
23,1,24.0,1
0,2,9.0,1
1,2,5.0,1
2,2,2.0,1
4,2,1.0,1
5,2,9.0,1
6,2,36.0,1
7,2,108.0,1
8,2,238.0,1
9,2,144.0,1
10,2,55.0,1
11,2,61.0,1
12,2,106.0,1
13,2,93.0,1
14,2,68.0,1
15,2,84.0,1
16,2,116.0,1
17,2,222.0,1
18,2,225.0,1
19,2,146.0,1
20,2,119.0,1
21,2,45.0,1
22,2,53.0,1
23,2,40.0,1
0,3,17.0,1
1,3,5.0,1
2,3,10.0,1
5,3,1.0,1
6,3,8.0,1
7,3,30.0,1
8,3,72.0,1
9,3,58.0,1
10,3,28.0,1
11,3,41.0,1
12,3,48.0,1
13,3,47.0,1
14,3,36.0,1
15,3,43.0,1
16,3,36.0,1
17,3,26.0,1
16,4,24.0,1
17,4,84.0,1
18,4,104.0,1
19,4,79.0,1
20,4,59.0,1
21,4,38.0,1
22,4,27.0,1
23,4,16.0,1
0,5,9.0,1
1,5,3.0,1
2,5,2.0,1
3,5,1.0,1
5,5,4.0,1
6,5,16.0,1
7,5,60.0,1
8,5,157.0,1
9,5,101.0,1
10,5,49.0,1
11,5,30.0,1
12,5,29.0,1
13,5,31.0,1
14,5,38.0,1
15,5,41.0,1
16,5,80.0,1
17,5,149.0,1
18,5,109.0,1
19,5,89.0,1
20,5,62.0,1
21,5,58.0,1
22,5,26.0,1
23,5,23.0,1
0,6,28.0,0
1,6,20.0,0
2,6,15.0,0
3,6,8.0,0
4,6,3.0,0
6,6,2.0,0
7,6,5.0,0
8,6,34.0,0
9,6,34.0,0
10,6,55.0,0
11,6,64.0,0
12,6,78.0,0
13,6,65.0,0
14,6,99.0,0
15,6,120.0,0
16,6,107.0,0
17,6,91.0,0
18,6,68.0,0
19,6,58.0,0
20,6,43.0,0
21,6,36.0,0
22,6,32.0,0
23,6,33.0,0
0,0,33.0,0
1,0,29.0,0
2,0,11.0,0
3,0,8.0,0
4,0,1.0,0
5,0,3.0,0
7,0,3.0,0
8,0,12.0,0
9,0,38.0,0
10,0,64.0,0
11,0,59.0,0
12,0,97.0,0
13,0,84.0,0
14,0,122.0,0
15,0,109.0,0
16,0,123.0,0
17,0,77.0,0
18,0,65.0,0
19,0,55.0,0
20,0,33.0,0
21,0,28.0,0
22,0,21.0,0
23,0,21.0,0
0,1,7.0,1
1,1,7.0,1
2,1,1.0,1
3,1,2.0,1
4,1,2.0,1
5,1,8.0,1
6,1,37.0,1
7,1,72.0,1
8,1,185.0,1
9,1,112.0,1
10,1,69.0,1
11,1,48.0,1
12,1,68.0,1
13,1,54.0,1
14,1,86.0,1
15,1,44.0,1
16,1,86.0,1
17,1,161.0,1
18,1,156.0,1
19,1,111.0,1
20,1,78.0,1
21,1,56.0,1
22,1,34.0,1
23,1,17.0,1
0,2,8.0,1
1,2,3.0,1
2,2,2.0,1
3,2,2.0,1
5,2,3.0,1
6,2,22.0,1
7,2,52.0,1
8,2,135.0,1
9,2,116.0,1
10,2,47.0,1
11,2,51.0,1
12,2,55.0,1
13,2,52.0,1
14,2,54.0,1
15,2,52.0,1
16,2,64.0,1
17,2,176.0,1
18,2,168.0,1
19,2,108.0,1
20,2,74.0,1
21,2,64.0,1
22,2,36.0,1
23,2,16.0,1
0,3,2.0,1
1,3,3.0,1
2,3,4.0,1
3,3,1.0,1
4,3,1.0,1
5,3,3.0,1
6,3,18.0,1
7,3,49.0,1
8,3,155.0,1
9,3,123.0,1
10,3,61.0,1
11,3,52.0,1
12,3,64.0,1
13,3,75.0,1
14,3,63.0,1
15,3,76.0,1
16,3,103.0,1
17,3,190.0,1
18,3,182.0,1
19,3,91.0,1
20,3,75.0,1
21,3,63.0,1
22,3,40.0,1
23,3,32.0,1
0,4,12.0,1
1,4,5.0,1
2,4,2.0,1
3,4,1.0,1
5,4,2.0,1
6,4,39.0,1
7,4,87.0,1
8,4,188.0,1
9,4,133.0,1
10,4,52.0,1
11,4,64.0,1
12,4,69.0,1
13,4,51.0,1
14,4,47.0,1
15,4,60.0,1
16,4,78.0,1
17,4,175.0,1
18,4,147.0,1
19,4,96.0,1
20,4,109.0,1
21,4,54.0,1
22,4,41.0,1
23,4,38.0,1
0,5,13.0,1
1,5,7.0,1
2,5,1.0,1
3,5,1.0,1
5,5,7.0,1
6,5,28.0,1
7,5,87.0,1
8,5,220.0,1
9,5,127.0,1
10,5,51.0,1
11,5,64.0,1
12,5,86.0,1
13,5,82.0,1
14,5,91.0,1
15,5,90.0,1
16,5,99.0,1
17,5,205.0,1
18,5,155.0,1
19,5,103.0,1
20,5,71.0,1
21,5,43.0,1
22,5,46.0,1
23,5,31.0,1
0,6,39.0,0
1,6,18.0,0
2,6,17.0,0
3,6,11.0,0
4,6,8.0,0
5,6,9.0,0
6,6,4.0,0
7,6,4.0,0
8,6,10.0,0
9,6,20.0,0
10,6,34.0,0
11,6,47.0,0
12,6,52.0,0
13,6,72.0,0
14,6,55.0,0
15,6,60.0,0
16,6,71.0,0
17,6,78.0,0
18,6,83.0,0
19,6,84.0,0
20,6,69.0,0
21,6,56.0,0
22,6,45.0,0
23,6,59.0,0
0,0,39.0,0
1,0,44.0,0
2,0,20.0,0
3,0,13.0,0
4,0,2.0,0
5,0,1.0,0
6,0,1.0,0
7,0,8.0,0
8,0,23.0,0
9,0,45.0,0
10,0,89.0,0
11,0,117.0,0
12,0,174.0,0
13,0,182.0,0
14,0,161.0,0
15,0,182.0,0
16,0,157.0,0
17,0,121.0,0
18,0,78.0,0
19,0,21.0,0
20,0,26.0,0
21,0,27.0,0
22,0,62.0,0
23,0,30.0,0
0,1,15.0,1
1,1,5.0,1
2,1,3.0,1
3,1,1.0,1
4,1,2.0,1
5,1,10.0,1
6,1,30.0,1
7,1,95.0,1
8,1,230.0,1
9,1,118.0,1
10,1,55.0,1
11,1,47.0,1
12,1,66.0,1
13,1,64.0,1
14,1,60.0,1
15,1,50.0,1
16,1,114.0,1
17,1,216.0,1
18,1,175.0,1
19,1,128.0,1
20,1,88.0,1
21,1,78.0,1
22,1,37.0,1
23,1,25.0,1
0,2,10.0,1
1,2,4.0,1
2,2,2.0,1
3,2,1.0,1
4,2,3.0,1
5,2,2.0,1
6,2,39.0,1
7,2,100.0,1
8,2,243.0,1
9,2,135.0,1
10,2,48.0,1
11,2,50.0,1
12,2,65.0,1
13,2,50.0,1
14,2,64.0,1
15,2,51.0,1
16,2,83.0,1
17,2,176.0,1
18,2,152.0,1
19,2,101.0,1
20,2,56.0,1
21,2,54.0,1
22,2,29.0,1
23,2,12.0,1
0,3,17.0,1
1,3,7.0,1
2,3,3.0,1
3,3,2.0,1
5,3,7.0,1
6,3,43.0,1
7,3,99.0,1
8,3,199.0,1
9,3,123.0,1
10,3,59.0,1
11,3,41.0,1
12,3,61.0,1
13,3,69.0,1
14,3,58.0,1
15,3,64.0,1
16,3,79.0,1
17,3,166.0,1
18,3,170.0,1
19,3,88.0,1
20,3,84.0,1
21,3,83.0,1
22,3,46.0,1
23,3,37.0,1
0,4,16.0,1
1,4,7.0,1
2,4,3.0,1
4,4,1.0,1
5,4,6.0,1
6,4,26.0,1
7,4,99.0,1
8,4,178.0,1
9,4,122.0,1
10,4,35.0,1
11,4,45.0,1
12,4,69.0,1
13,4,62.0,1
14,4,48.0,1
15,4,50.0,1
16,4,80.0,1
17,4,165.0,1
18,4,160.0,1
19,4,112.0,1
20,4,97.0,1
21,4,72.0,1
22,4,51.0,1
23,4,34.0,1
0,5,14.0,1
1,5,7.0,1
2,5,3.0,1
5,5,4.0,1
6,5,24.0,1
7,5,74.0,1
8,5,216.0,1
9,5,140.0,1
10,5,44.0,1
11,5,64.0,1
12,5,71.0,1
13,5,110.0,1
14,5,84.0,1
15,5,74.0,1
16,5,125.0,1
17,5,211.0,1
18,5,174.0,1
19,5,101.0,1
20,5,63.0,1
21,5,47.0,1
22,5,43.0,1
23,5,53.0,1
0,6,30.0,0
1,6,24.0,0
2,6,15.0,0
3,6,10.0,0
4,6,4.0,0
5,6,1.0,0
6,6,2.0,0
7,6,11.0,0
8,6,30.0,0
9,6,43.0,0
10,6,84.0,0
11,6,114.0,0
12,6,120.0,0
13,6,135.0,0
14,6,120.0,0
15,6,174.0,0
16,6,145.0,0
17,6,137.0,0
18,6,64.0,0
19,6,41.0,0
20,6,40.0,0
21,6,51.0,0
22,6,45.0,0
23,6,32.0,0
0,0,39.0,0
1,0,24.0,0
2,0,20.0,0
3,0,12.0,0
4,0,2.0,0
6,0,5.0,0
7,0,3.0,0
8,0,12.0,0
9,0,47.0,0
10,0,105.0,0
11,0,112.0,0
12,0,152.0,0
13,0,154.0,0
14,0,161.0,0
15,0,162.0,0
16,0,134.0,0
17,0,125.0,0
18,0,95.0,0
19,0,61.0,0
20,0,47.0,0
21,0,51.0,0
22,0,36.0,0
23,0,30.0,0
0,1,11.0,1
1,1,7.0,1
2,1,2.0,1
3,1,2.0,1
4,1,2.0,1
5,1,3.0,1
6,1,26.0,1
7,1,98.0,1
8,1,256.0,1
9,1,130.0,1
10,1,55.0,1
11,1,53.0,1
12,1,126.0,1
13,1,120.0,1
14,1,90.0,1
15,1,90.0,1
16,1,118.0,1
17,1,243.0,1
18,1,205.0,1
19,1,98.0,1
20,1,70.0,1
21,1,43.0,1
22,1,45.0,1
23,1,20.0,1
0,2,19.0,1
1,2,5.0,1
2,2,3.0,1
4,2,1.0,1
5,2,4.0,1
6,2,30.0,1
7,2,105.0,1
8,2,223.0,1
9,2,110.0,1
10,2,52.0,1
11,2,57.0,1
12,2,71.0,1
13,2,82.0,1
14,2,79.0,1
15,2,85.0,1
16,2,98.0,1
17,2,206.0,1
18,2,212.0,1
19,2,145.0,1
20,2,101.0,1
21,2,66.0,1
22,2,41.0,1
23,2,20.0,1
0,3,15.0,1
1,3,9.0,1
3,3,1.0,1
4,3,1.0,1
5,3,5.0,1
6,3,33.0,1
7,3,108.0,1
8,3,230.0,1
9,3,124.0,1
10,3,69.0,1
11,3,66.0,1
12,3,86.0,1
13,3,93.0,1
14,3,82.0,1
15,3,117.0,1
16,3,122.0,1
17,3,255.0,1
18,3,222.0,1
19,3,161.0,1
20,3,118.0,1
21,3,92.0,1
22,3,73.0,1
23,3,33.0,1
0,4,17.0,1
1,4,6.0,1
2,4,6.0,1
3,4,4.0,1
4,4,4.0,1
5,4,12.0,1
6,4,47.0,1
7,4,126.0,1
8,4,285.0,1
9,4,179.0,1
10,4,88.0,1
11,4,90.0,1
12,4,101.0,1
13,4,123.0,1
14,4,81.0,1
15,4,106.0,1
16,4,146.0,1
17,4,274.0,1
18,4,222.0,1
19,4,175.0,1
20,4,139.0,1
21,4,124.0,1
22,4,76.0,1
23,4,44.0,1
0,5,32.0,1
1,5,8.0,1
2,5,7.0,1
3,5,8.0,1
4,5,1.0,1
5,5,7.0,1
6,5,50.0,1
7,5,116.0,1
8,5,272.0,1
9,5,169.0,1
10,5,95.0,1
11,5,113.0,1
12,5,185.0,1
13,5,176.0,1
14,5,191.0,1
15,5,172.0,1
16,5,232.0,1
17,5,327.0,1
18,5,224.0,1
19,5,162.0,1
20,5,124.0,1
21,5,72.0,1
22,5,107.0,1
23,5,77.0,1
0,6,29.0,0
1,6,31.0,0
2,6,17.0,0
3,6,7.0,0
4,6,3.0,0
5,6,3.0,0
6,6,6.0,0
7,6,22.0,0
8,6,45.0,0
9,6,55.0,0
10,6,106.0,0
11,6,123.0,0
12,6,119.0,0
13,6,155.0,0
14,6,196.0,0
15,6,171.0,0
16,6,120.0,0
17,6,127.0,0
18,6,88.0,0
19,6,59.0,0
20,6,47.0,0
21,6,33.0,0
22,6,44.0,0
23,6,29.0,0
0,0,17.0,0
1,0,16.0,0
2,0,17.0,0
3,0,18.0,0
4,0,1.0,0
6,0,2.0,0
7,0,2.0,0
8,0,24.0,0
9,0,55.0,0
10,0,104.0,0
11,0,161.0,0
12,0,182.0,0
13,0,198.0,0
14,0,212.0,0
15,0,168.0,0
16,0,147.0,0
17,0,146.0,0
18,0,101.0,0
19,0,42.0,0
20,0,42.0,0
21,0,56.0,0
22,0,47.0,0
23,0,54.0,0
0,1,37.0,0
1,1,13.0,0
2,1,4.0,0
3,1,5.0,0
4,1,1.0,0
5,1,3.0,0
6,1,8.0,0
7,1,19.0,0
8,1,63.0,0
9,1,57.0,0
10,1,81.0,0
11,1,90.0,0
12,1,93.0,0
13,1,103.0,0
14,1,116.0,0
15,1,87.0,0
16,1,56.0,0
17,1,80.0,0
18,1,66.0,0
19,1,49.0,0
20,1,29.0,0
21,1,34.0,0
22,1,11.0,0
23,1,2.0,0
6,2,7.0,1
7,2,40.0,1
8,2,114.0,1
9,2,106.0,1
10,2,44.0,1
11,2,50.0,1
12,2,55.0,1
13,2,55.0,1
14,2,58.0,1
15,2,69.0,1
16,2,86.0,1
17,2,196.0,1
18,2,167.0,1
19,2,118.0,1
20,2,105.0,1
21,2,82.0,1
22,2,77.0,1
23,2,21.0,1
0,3,6.0,1
1,3,4.0,1
2,3,1.0,1
3,3,2.0,1
5,3,8.0,1
6,3,36.0,1
7,3,96.0,1
8,3,235.0,1
9,3,139.0,1
10,3,51.0,1
11,3,69.0,1
12,3,67.0,1
13,3,87.0,1
14,3,78.0,1
15,3,72.0,1
16,3,94.0,1
17,3,222.0,1
18,3,209.0,1
19,3,141.0,1
20,3,109.0,1
21,3,91.0,1
22,3,61.0,1
23,3,39.0,1
0,4,11.0,1
1,4,7.0,1
2,4,4.0,1
3,4,2.0,1
5,4,4.0,1
6,4,58.0,1
7,4,104.0,1
8,4,252.0,1
9,4,137.0,1
10,4,57.0,1
11,4,79.0,1
12,4,95.0,1
13,4,88.0,1
14,4,69.0,1
15,4,63.0,1
16,4,71.0,1
17,4,177.0,1
18,4,137.0,1
19,4,115.0,1
20,4,89.0,1
21,4,83.0,1
22,4,55.0,1
23,4,50.0,1
0,5,9.0,1
1,5,10.0,1
2,5,3.0,1
3,5,2.0,1
5,5,6.0,1
6,5,11.0,1
7,5,35.0,1
8,5,73.0,1
9,5,114.0,1
10,5,49.0,1
11,5,59.0,1
12,5,115.0,1
13,5,83.0,1
14,5,85.0,1
15,5,55.0,1
16,5,102.0,1
17,5,189.0,1
18,5,157.0,1
19,5,90.0,1
20,5,62.0,1
21,5,63.0,1
22,5,50.0,1
23,5,39.0,1
0,6,28.0,0
1,6,27.0,0
2,6,12.0,0
3,6,8.0,0
4,6,2.0,0
5,6,10.0,0
6,6,7.0,0
7,6,22.0,0
8,6,57.0,0
9,6,74.0,0
10,6,85.0,0
11,6,126.0,0
12,6,160.0,0
13,6,174.0,0
14,6,211.0,0
15,6,165.0,0
16,6,171.0,0
17,6,183.0,0
18,6,137.0,0
19,6,94.0,0
20,6,68.0,0
21,6,68.0,0
22,6,46.0,0
23,6,34.0,0
0,0,34.0,0
1,0,37.0,0
2,0,22.0,0
3,0,11.0,0
4,0,2.0,0
6,0,3.0,0
7,0,14.0,0
8,0,35.0,0
9,0,59.0,0
10,0,103.0,0
11,0,125.0,0
12,0,193.0,0
13,0,259.0,0
14,0,282.0,0
15,0,261.0,0
16,0,268.0,0
17,0,187.0,0
18,0,127.0,0
19,0,102.0,0
20,0,81.0,0
21,0,69.0,0
22,0,69.0,0
23,0,59.0,0
0,1,30.0,1
1,1,8.0,1
3,1,1.0,1
5,1,5.0,1
6,1,28.0,1
7,1,92.0,1
8,1,255.0,1
9,1,142.0,1
10,1,92.0,1
11,1,87.0,1
12,1,36.0,1
13,1,32.0,1
14,1,25.0,1
15,1,35.0,1
16,1,42.0,1
17,1,79.0,1
18,1,131.0,1
19,1,80.0,1
20,1,45.0,1
21,1,80.0,1
22,1,76.0,1
23,1,45.0,1
0,2,7.0,1
1,2,3.0,1
2,2,4.0,1
3,2,2.0,1
4,2,1.0,1
5,2,2.0,1
6,2,46.0,1
7,2,107.0,1
8,2,214.0,1
9,2,124.0,1
10,2,68.0,1
11,2,56.0,1
12,2,86.0,1
13,2,78.0,1
14,2,79.0,1
15,2,64.0,1
16,2,102.0,1
17,2,242.0,1
18,2,224.0,1
19,2,119.0,1
20,2,88.0,1
21,2,63.0,1
22,2,47.0,1
23,2,25.0,1
0,3,8.0,1
1,3,4.0,1
2,3,2.0,1
3,3,4.0,1
4,3,1.0,1
5,3,5.0,1
6,3,40.0,1
7,3,110.0,1
8,3,256.0,1
9,3,148.0,1
10,3,76.0,1
11,3,73.0,1
12,3,82.0,1
13,3,125.0,1
14,3,96.0,1
15,3,110.0,1
16,3,139.0,1
17,3,268.0,1
18,3,201.0,1
19,3,150.0,1
20,3,95.0,1
21,3,71.0,1
22,3,48.0,1
23,3,22.0,1
0,4,13.0,1
1,4,1.0,1
2,4,3.0,1
3,4,1.0,1
4,4,1.0,1
5,4,8.0,1
6,4,35.0,1
7,4,111.0,1
8,4,220.0,1
9,4,145.0,1
10,4,56.0,1
11,4,50.0,1
